filename,plate,confidence,status
T1_111948_UP039____Unknown.jpg,UP039,0.97,ok
T1_112040_ZVB144____Unknown.jpg,ZVB144,0.98,ok
T1_112049_MKN402____Unknown.jpg,MXN402,0.97,ok
T1_112108_PMA492____Unknown.jpg,PMA492,0.92,ok
T1_112118_PJ945____Unknown.jpg,PJ945,0.96,ok
T1_112149_UU090____Unknown.jpg,UU090,0.98,ok
T1_112338_AB769E____Unknown.jpg,AB769E,0.99,ok
T1_112401_AA689B____Unknown.jpg,6898,0.96,ok
T1_112600_NV972____Unknown.jpg,NV972,1.00,ok
T1_112617_HZ734____Unknown.jpg,HZ734,0.99,ok
T1_112935_PM445____Unknown.jpg,PM445,0.98,ok
T1_113039_SR686____Unknown.jpg,SR686,1.00,ok
T1_113142_AB026F____Unknown.jpg,026F,0.99,ok
T1_113155_AA613D____Unknown.jpg,AA613D,1.00,ok
T1_113259_GB972____Unknown.jpg,GB972,0.99,ok
T1_113456_AA403D____Unknown.jpg,AA403D,0.99,ok
T1_113509_MV882____Unknown.jpg,MV882,0.93,ok
T1_113538_FZ165____Unknown.jpg,FZ165,1.00,ok
T1_113544_YS181____Unknown.jpg,YS181,0.91,ok
T1_113615_MS739____Unknown.jpg,MS739,1.00,ok
T1_113725_JT673____Unknown.jpg,JT673,0.92,ok
T1_113750_ZA280____Unknown.jpg,ZA280,1.00,ok
T1_113834_MV207____Unknown.jpg,MV207,0.99,ok
T1_113853_SL829____Unknown.jpg,SL8297,0.95,ok
T1_114255_AA403D____Unknown.jpg,AA403D,0.92,ok
T1_114318_NS852____Unknown.jpg,NS852,1.00,ok
T1_114525_PH850____Unknown.jpg,PH850,1.00,ok
T1_114610_LZ398____Unknown.jpg,LZ398,0.95,ok
T1_114811_AA808Z____Unknown.jpg,AA8082,0.88,ok
T1_114925_NP853____Unknown.jpg,NP853,0.99,ok
T1_114928_MF766____Unknown.jpg,MF766,0.93,ok
T1_115047_SN929____Unknown.jpg,SN929,0.99,ok
T1_115218_RC850____Unknown.jpg,RC850,0.99,ok
T1_115404_ZZL433____Unknown.jpg,ZZL433,0.99,ok
T1_115541_JE806____Unknown.jpg,JEBOS,0.85,ok
T1_115548_GU705____Unknown.jpg,GU705,0.99,ok
T1_115607_ZUS037____Unknown.jpg,ZUS037,0.99,ok
T1_120143_MS658____Unknown.jpg,MS658,0.93,ok
T1_120404_YD437____Unknown.jpg,VD437,0.99,ok
T1_120529_SL562____Unknown.jpg,SL562,0.99,ok
T1_120607_NR909____Unknown.jpg,NR969,0.91,ok
